ID,CITY,PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,TYPE,LATITUDE,LONGITUDE,LINK
GY_7194,Guayaquil,185000.0,3,2,2,145.0,Casa,-2.148106,-79.916892,https://img10.naventcdn.com/avisos/resize/9/01/50/09/55/53/1200x1200/1611087972.jpg
GY_8032,Guayaquil,185000.0,3,2,2,145.0,Casa,-2.193214,-79.881473,https://www.plusvalia.com/guayaquil/inmueble/2252.html
GY_3541,Guayaquil,220000.0,3,3,2,160.0,Departamento,-2.155487,-79.901124,https://www.plusvalia.com/guayaquil/inmueble/5543.html
GY_1092,Guayaquil,125000.0,2,2,1,90.0,Departamento,-2.188945,-79.889021,https://www.plusvalia.com/guayaquil/inmueble/3311.html
GY_6211,Guayaquil,310000.0,4,3,3,220.0,Casa,-2.122156,-79.931254,https://www.plusvalia.com/guayaquil/inmueble/4409.html
GY_9983,Guayaquil,450000.0,5,4,4,310.0,Casa,-2.100587,-79.951011,https://www.plusvalia.com/guayaquil/inmueble/7701.html
GY_4322,Guayaquil,155000.0,2,2,1,110.0,Casa,-2.211023,-79.871142,https://www.plusvalia.com/guayaquil/inmueble/6654.html
GY_2109,Guayaquil,195000.0,3,2,2,150.0,Departamento,-2.170114,-79.900101,https://www.plusvalia.com/guayaquil/inmueble/8812.html
GY_5410,Guayaquil,240000.0,3,3,2,180.0,Departamento,-2.131109,-79.940023,https://www.plusvalia.com/guayaquil/inmueble/9913.html
GY_8876,Guayaquil,380000.0,4,3,3,260.0,Casa,-2.110022,-79.960012,https://www.plusvalia.com/guayaquil/inmueble/1010.html
QT_1111,Quito,165000.0,3,2,2,145.0,Casa,-0.180000,-78.467000,https://www.plusvalia.com/quito/inmueble/2333.html
QT_2222,Quito,210000.0,3,3,2,170.0,Departamento,-0.165000,-78.480000,https://www.plusvalia.com/quito/inmueble/1234.html
QT_3333,Quito,280000.0,4,3,3,210.0,Casa,-0.195000,-78.455000,https://www.plusvalia.com/quito/inmueble/2345.html
QT_4444,Quito,135000.0,2,2,1,95.0,Departamento,-0.170000,-78.475000,https://www.plusvalia.com/quito/inmueble/3456.html
QT_5555,Quito,350000.0,5,4,4,300.0,Casa,-0.210000,-78.440000,https://www.plusvalia.com/quito/inmueble/4567.html
QT_6666,Quito,185000.0,3,2,2,150.0,Departamento,-0.160000,-78.490000,https://www.plusvalia.com/quito/inmueble/5678.html
QT_7777,Quito,225000.0,3,3,2,180.0,Casa,-0.200000,-78.460000,https://www.plusvalia.com/quito/inmueble/6789.html
QT_8888,Quito,410000.0,4,3,3,280.0,Casa,-0.220000,-78.430000,https://www.plusvalia.com/quito/inmueble/7890.html
QT_9999,Quito,150000.0,2,2,1,105.0,Departamento,-0.155000,-78.495000,https://www.plusvalia.com/quito/inmueble/8901.html
QT_1010,Quito,255000.0,3,3,2,190.0,Departamento,-0.185000,-78.470000,https://www.plusvalia.com/quito/inmueble/9012.html
MN_1234,Manta,175000.0,3,2,2,145.0,Casa,-0.957000,-80.723000,https://www.plusvalia.com/manta/inmueble/2504.html
MN_2345,Manta,190000.0,3,3,2,160.0,Departamento,-0.945000,-80.735000,https://www.plusvalia.com/manta/inmueble/3101.html
MN_3456,Manta,235000.0,4,3,3,195.0,Casa,-0.970000,-80.710000,https://www.plusvalia.com/manta/inmueble/4202.html
MN_4567,Manta,115000.0,2,2,1,85.0,Departamento,-0.950000,-80.730000,https://www.plusvalia.com/manta/inmueble/5303.html
MN_5678,Manta,300000.0,5,4,4,280.0,Casa,-0.985000,-80.695000,https://www.plusvalia.com/manta/inmueble/6404.html
MN_6789,Manta,180000.0,3,2,2,150.0,Departamento,-0.940000,-80.740000,https://www.plusvalia.com/manta/inmueble/7505.html
MN_7890,Manta,215000.0,3,3,2,175.0,Casa,-0.965000,-80.715000,https://www.plusvalia.com/manta/inmueble/8606.html
MN_8901,Manta,360000.0,4,3,3,250.0,Casa,-0.990000,-80.685000,https://www.plusvalia.com/manta/inmueble/9707.html
MN_9012,Manta,140000.0,2,2,1,100.0,Departamento,-0.935000,-80.745000,https://www.plusvalia.com/manta/inmueble/1008.html
MN_1011,Manta,245000.0,3,3,2,185.0,Departamento,-0.960000,-80.720000,https://www.plusvalia.com/manta/inmueble/1109.html
